1; 29; 29; 0; 0;  
2; 24; 18; 0; 1; Muere animal en [5, 2] /  
3; 12; 17; 0; 6; Muere animal en [1, 6] / Muere animal en [3, 3] / Muere animal en [3, 0] / Muere animal en [4, 5] / Muere animal en [8, 2] / Muere animal en [9, 4] /  
4; 4; 16; 0; 4; Muere animal en [3, 7] / Muere animal en [5, 9] / Muere animal en [6, 7] / Muere animal en [7, 7] /  
5; 3; 15; 0; 2; Muere animal en [5, 2] / Muere animal en [9, 5] /  
6; 0; 15; 0; 1; Muere animal en [2, 6] /  
7; 0; 15; 0; 0;  
8; 0; 15; 0; 0;  
9; 0; 15; 0; 0;  
10; 0; 15; 0; 0;  
11; 0; 15; 0; 0;  
12; 0; 15; 0; 0;  
13; 0; 15; 0; 0;  
14; 0; 15; 0; 0;  
15; 0; 15; 0; 0;  
